ORF	hap alpha | growth (culture turbidity) | standard | MM + (H–L)HKU + Trp | Cai H~Becker JM, 2006
YLR232W	2.110
YMR078C	0.908
YNL202W	0.014
YDR144C	1.183
YAR042W	0.817
YEL045C	1.064
YPL064C	0.181
YOL083W	0.978
YLR030W	1.035
YGR150C	0.814
YLL044W	1.009
YDR272W	0.295
YMR246W	1.075
YJL142C	0.909
YPR079W	1.421
YBR188C	1.281
YBL101C	1.415
YLR343W	0.997
YCL005W	1.159
YDR502C	1.251
YNL334C	1.395
YNR007C	1.361
YDR241W	1.828
YFR006W	1.124
YMR129W	1.111
YPL125W	0.680
YNL252C	0.931
YOL006C	1.124
YKL155C	1.093
YPR051W	1.292
YGR161C	0.851
YDL130W	1.340
YOL151W	1.180
YDL116W	0.101
YPL259C	1.101
YBR210W	1.145
YER027C	1.130
YOR190W	1.382
YPR024W	1.064
YCL051W	1.340
YML060W	1.603
YBR096W	1.212
YML094W	0.195
YLR265C	0.600
YNL339C	1.085
YIL050W	0.775
YAL039C	0.992
YMR133W	1.105
YOR304W	1.221
YIL014W	0.858
YJL157C	1.044
YIR035C	1.024
YOL041C	0.722
YJR034W	0.839
YNR042W	0.610
YAL045C	1.062
YOR100C	0.985
YMR008C	0.178
YOR192C	1.306
YGL005C	0.521
YEL066W	0.999
YIL044C	0.973
YEL013W	1.112
YBR268W	1.152
YBR107C	0.859
YER088C	1.040
YBR106W	1.324
YLR082C	1.687
YJL006C	1.390
YGL246C	1.444
YBR204C	0.893
YOR246C	1.066
YDR414C	0.779
YKL064W	0.853
YPR145W	0.623
YEL016C	1.214
YIL148W	0.723
YHR035W	0.972
YBL100C	0.929
YHR060W	0.415
YKR044W	0.866
YKR104W	0.906
YKR066C	1.043
YKR030W	0.932
YCR101C	1.194
YOR003W	1.111
YNR052C	1.335
YOR311C	1.104
YPL052W	0.631
YER091C	0.219
YCL009C	0.907
YGR241C	1.199
YMR087W	1.276
YGL094C	0.400
YDL042C	1.181
YBR164C	0.795
YLR046C	1.179
YLR004C	0.490
YML002W	1.443
YLR001C	0.383
YDL237W	1.061
YJR094C	1.190
YKR059W	1.653
YIL093C	0.743
YKR031C	-0.137
YDR431W	0.959
YMR158C-B	1.100
YCR076C	1.243
YJR030C	0.590
YGL258W	1.227
YMR224C	0.322
YOR264W	1.344
YOR334W	1.090
YDR432W	0.126
YGL159W	0.986
YLR036C	0.908
YBR146W	0.283
YGL006W	0.922
YKR099W	0.671
YOL115W	0.584
YBL107C	0.574
YLR320W	0.874
YMR073C	1.399
YNL180C	2.090
YMR126C	1.151
YJL064W	1.124
YPL199C	1.165
YBR120C	0.703
YKL202W	0.937
YIR024C	0.947
YPL026C	1.177
YOR109W	0.896
YER115C	1.286
YMR124W	1.857
YGR085C	1.155
YGL027C	1.192
YDL069C	1.645
YOL101C	0.909
YPL065W	0.170
YKL072W	1.000
YML129C	0.931
YLL049W	0.858
YHL030W	0.339
YGL167C	1.106
YKL090W	0.910
YBR133C	1.141
YOR377W	0.681
YJL191W	1.073
YLR049C	0.613
YPR132W	1.106
YOR381W	0.046
YNL066W	0.837
YGR056W	1.004
YBL099W	0.056
YGL213C	1.714
YFL055W	0.910
YBR264C	0.901
YMR322C	1.059
YPR022C	1.551
YGL249W	0.813
YLR401C	1.130
YOR342C	0.750
YOR197W	0.866
YML026C	1.132
YGR033C	1.105
YDR387C	1.061
YKL096W-A	0.969
YHR191C	0.392
YDR346C	1.111
YGL234W	0.345
YLR201C	0.766
YJR140C	0.911
YHL011C	1.245
YIL035C	1.042
YOL060C	0.951
YKL020C	1.003
YBL085W	0.878
YIR038C	1.201
YDR350C	0.578
YNL127W	1.150
YPL152W	1.513
YPL214C	1.231
YOL057W	0.890
YBR280C	0.868
YBL007C	1.728
YDR098C	0.213
YNL034W	0.625
YDR209C	0.997
YGL156W	1.124
YOR028C	1.468
YOR269W	0.782
YGR194C	1.282
YCL014W	0.903
YHR204W	1.163
YOR228C	0.881
YEL018W	1.758
YAL031C	1.387
YML055W	1.375
YHL025W	1.035
YPL215W	1.216
YBR166C	0.000
YPR058W	0.652
YMR099C	1.236
YGR155W	0.035
YDL187C	1.142
YPL234C	0.388
YER054C	1.094
YCR008W	0.707
YHL032C	2.319
YER019C-A	1.362
YDL185W	0.580
YIL017C	1.057
YMR221C	0.972
YER145C	0.238
YBR145W	0.885
YLR231C	0.855
YMR265C	1.673
YOR085W	1.057
YIL072W	1.181
YLR065C	0.674
YDR001C	1.405
YLR244C	1.636
YPR172W	1.295
YER004W	0.914
YML003W	1.229
YOL009C	0.630
YJL168C	1.368
YHR038W	1.015
YJL209W	0.980
YIR005W	0.477
YBR238C	0.993
YNL297C	1.026
YEL027W	0.477
YKL171W	1.015
YJR153W	1.067
YJR145C	0.952
YBR181C	0.900
YGR087C	1.319
YLR296W	0.392
YDR537C	0.860
YBR205W	1.271
YMR294W	0.687
YJL199C	0.836
YOR086C	1.064
YKR067W	1.325
YJL079C	1.370
YDR388W	1.510
YDR148C	0.799
YPL051W	0.681
YHR121W	1.294
YBR111C	1.160
YOR088W	1.103
YNL275W	1.411
YOR142W	1.230
YGR244C	1.048
YLR015W	0.407
YER167W	1.161
YNL280C	0.453
YAR002C-A	1.031
YJR009C	0.837
YGL199C	2.044
YDL155W	1.220
YGL173C	1.296
YER101C	0.912
YNL191W	0.306
YNL316C	-0.105
YML120C	1.006
YIL088C	0.769
YJR096W	1.062
YDR409W	1.283
YEL057C	1.057
YLR268W	0.504
YOR298W	1.159
YNR067C	1.152
YBL060W	1.025
YLR226W	0.279
YDL006W	0.657
YPL183W-A	0.905
YHR037W	1.010
YJL180C	0.439
YIL006W	0.681
YML119W	0.941
YOR221C	0.194
YJR121W	1.179
YML061C	1.030
YNL067W	0.210
YER119C-A	1.594
YJR115W	0.885
YIL085C	0.831
YDR117C	1.379
YOR375C	0.579
YEL059W	0.995
YLR346C	1.299
YLR061W	1.402
YOR179C	1.384
YDR506C	1.409
YLR373C	0.886
YPR140W	0.962
YCL023C	1.303
YPL114W	0.592
YBR208C	0.985
YGL031C	1.118
YBR031W	1.085
YDR207C	0.439
YPL260W	1.152
YMR029C	1.026
YBL025W	1.962
YDR334W	0.534
YLR241W	1.006
YPL134C	0.891
YJR103W	1.126
YLR203C	0.731
YKR106W	1.048
YER090W	1.060
YGL019W	1.457
YHL022C	1.014
YBR159W	0.996
YPL045W	0.845
YLR418C	0.216
YOR051C	1.148
YNL037C	0.559
YPL154C	1.028
YPR198W	1.042
YBR047W	0.599
YDL050C	1.114
YDR524C	1.181
YKR058W	2.108
YKR074W	1.262
YOR184W	0.172
YGL263W	0.980
YMR132C	1.099
YJL067W	1.117
YLL059C	1.124
YKL199C	1.313
YKL140W	0.885
YLR286C	1.341
YPR012W	0.839
YDR223W	0.994
YJL134W	0.529
YGR010W	1.116
YMR010W	-0.302
YOL118C	0.933
YLL030C	1.037
YJR054W	1.390
YDR102C	1.186
YMR205C	0.358
YIL015W	1.002
YHL027W	1.627
YDL074C	0.929
YJL013C	1.235
YDR382W	0.305
YOR317W	0.991
YOL108C	0.152
YDR007W	1.269
YMR294W-A	0.966
YDL171C	0.446
YCR031C	1.028
YKL221W	-0.720
YLR395C	0.987
YJL155C	1.055
YBL095W	1.458
YOR044W	1.142
YDR193W	0.890
YBR216C	1.058
YOR230W	0.898
YFL020C	0.854
YAL015C	0.965
YER122C	1.086
YNL051W	1.124
YKL213C	1.149
YIL135C	0.553
YMR075W	1.409
YCL008C	2.226
YGL117W	1.228
YMR139W	1.248
YPL027W	1.264
YLR367W	1.038
YGR283C	0.846
YLR287C-A	1.680
YKL097C	0.872
YJL080C	1.062
YDR532C	2.281
YGR223C	1.056
YCL002C	0.854
YBR284W	1.199
YHR125W	1.198
YOR368W	1.296
YER142C	1.093
YPL069C	0.142
YNL249C	1.263
YGR270W	1.510
YJL083W	0.675
YDR491C	1.263
YPR030W	0.840
YPR060C	0.835
YHL019C	1.440
YLR453C	0.963
YBR125C	0.644
YOR171C	1.153
YLR202C	0.860
YLR399C	0.474
YDR263C	0.269
YDR080W	0.541
YGL196W	1.447
YOR283W	1.056
YGR226C	1.072
YGR118W	0.575
YML106W	1.086
YGR064W	1.143
YNL254C	0.953
YPL087W	1.055
YCR085W	1.243
YJL106W	0.673
YLR181C	0.902
YCR045C	1.199
YDR221W	0.663
YDR105C	1.041
YPL095C	0.637
YLR149C	0.665
YLR039C	1.310
YIL058W	0.913
YDL036C	1.303
YCR028C	0.652
YDL079C	1.578
YPL168W	0.748
YJR148W	1.027
YLR174W	1.234
YLR408C	1.307
YGR042W	1.103
YPL189W	0.895
YDR276C	2.256
YJL214W	1.007
YIL133C	1.084
YBR260C	0.949
YPR078C	1.101
YOR303W	0.052
YOR216C	0.708
YOR079C	1.052
YGR187C	0.998
YGR263C	1.094
YMR234W	1.322
YGR279C	0.846
YHR135C	1.083
YDR096W	1.157
YLR177W	0.966
YAL011W	0.619
YNL302C	0.766
YMR161W	1.225
YER188W	0.882
YGL133W	1.356
YAL007C	1.738
YKL010C	0.835
YDR028C	-0.111
YLR325C	1.012
YEL060C	0.637
YDR436W	1.099
YNL330C	0.965
YPL097W	0.437
YOR187W	1.051
YKL057C	1.171
YBR163W	0.775
YDL134C-A	1.196
YDL156W	1.563
YGR282C	0.894
YNL100W	1.163
YKL127W	0.983
YBR006W	1.178
YGL228W	0.995
YOL137W	0.933
YNL090W	1.074
YDL178W	0.391
YNR037C	0.884
YDR520C	1.182
YHR110W	1.176
YMR198W	0.829
YEL024W	1.027
YOL110W	0.910
YCR068W	0.577
YNL233W	1.572
YLR148W	0.400
YKL214C	0.358
YBR277C	0.954
YLR122C	1.125
YGR182C	0.704
YCR020W-B	1.197
YPR099C	0.596
YKL102C	1.063
YLL054C	1.169
YER134C	0.977
YHR050W	0.698
YCR095C	1.122
YHR049C-A	0.994
YDR150W	0.621
YLR187W	1.078
YJL169W	0.871
YDR011W	0.926
YNR056C	0.953
YJL127C	0.134
YNL011C	0.464
YOL014W	1.048
YOR301W	1.193
YNL314W	0.493
YMR171C	1.136
YLR326W	1.225
YDR230W	0.771
YIR043C	1.083
YJR144W	0.828
YHR157W	1.138
YDL085W	0.956
YJL210W	0.902
YAL017W	1.003
YER031C	1.268
YOR255W	1.206
YGL221C	0.581
YCR033W	0.768
YMR190C	0.667
YHR163W	1.096
YFL056C	1.043
YMR037C	1.127
YPL136W	0.588
YIR025W	1.144
YLR211C	0.789
YDR139C	1.177
YNL187W	-0.240
YDR538W	0.827
YPL035C	1.102
YEL031W	0.742
YCR016W	0.841
YJL121C	0.361
YNL092W	0.887
YJR062C	1.436
YOL003C	0.938
YBL028C	1.016
YCL026C	0.688
YIL029C	0.694
YGL141W	1.620
YGR287C	1.013
YOL031C	0.868
YLR050C	1.016
YIL042C	0.631
YBR141C	1.641
YBL038W	1.106
YMR012W	1.645
YDR458C	0.680
YLR260W	1.670
YMR052C-A	0.154
YOR041C	1.213
YML030W	1.215
YLR087C	0.239
YOL030W	0.876
YER132C	1.006
YBR266C	0.641
YER121W	1.060
YPL018W	0.998
YNR033W	0.917
YGL013C	0.787
YGR106C	0.643
YGR112W	0.548
YMR272C	1.008
YJR119C	0.967
YGL037C	1.188
YMR140W	1.633
YMR122C	1.951
YNL219C	1.625
YNL179C	1.205
YML096W	0.670
YGR078C	0.753
YLR084C	0.554
YOR126C	1.046
YMR015C	0.570
YLR417W	1.281
YML062C	2.032
YBL080C	0.769
YPL239W	0.636
YBR099C	1.160
YPR196W	1.023
YMR206W	0.801
YMR278W	0.981
YBR223C	1.095
YCL035C	1.137
YJL098W	1.093
YHR194W	1.651
YDR525W	1.111
YGR028W	0.998
YMR238W	0.542
YKR001C	3.573
YDR014W	1.552
YLR396C	1.411
YJL150W	1.405
YBR262C	0.928
YGR240C	1.009
YLR038C	1.191
YAL022C	0.254
YLR193C	0.775
YDR463W	0.814
YHL039W	1.168
YLR041W	0.821
YPR139C	0.641
YIR032C	0.962
YOR383C	1.258
YOR123C	0.741
YDR191W	1.227
YIL076W	1.388
YCL013W	0.833
YDR317W	2.405
YMR193C-A	1.222
YKL086W	0.894
YER070W	0.750
YDR384C	1.135
YBR214W	0.980
YLR364W	0.968
YOR002W	0.963
YJR036C	1.111
YIL010W	0.444
YHR031C	1.483
YER042W	1.181
YGL121C	1.066
YGR015C	0.975
YJL107C	1.849
YKL116C	0.923
YMR316C-B	0.690
YDL040C	0.976
YKR049C	0.800
YIL055C	1.219
YBR137W	1.204
YMR287C	0.762
YBR074W	0.220
YJL182C	1.052
YNL336W	1.482
YDR097C	0.961
YJL120W	0.938
YKL120W	0.671
YIR001C	0.874
YKR092C	1.083
YIL112W	1.008
YLR194C	1.032
YJL153C	1.170
YIL145C	1.039
YDR259C	0.688
YJR128W	1.330
YDR254W	0.299
YLR131C	0.640
YDR100W	1.390
YBR016W	1.567
YOR093C	0.946
YER079W	1.273
YDR260C	0.477
YJR059W	1.404
YOR189W	1.643
YGR290W	1.542
YCR087W	0.923
YBR019C	1.928
YFR048W	0.719
YMR219W	1.092
YDL173W	0.033
YCR010C	0.888
YBL063W	1.102
YPL032C	1.128
YKL040C	0.304
YIR013C	1.056
YMR181C	1.076
YOR144C	0.948
YNL078W	1.587
YLR324W	0.980
YPL200W	1.102
YMR282C	0.745
YBR064W	1.103
YPR127W	0.449
YNL270C	1.041
YGL067W	0.891
YDR294C	0.122
YIR037W	0.665
YJR120W	0.848
YBR200W	0.844
YFL046W	0.856
YDR495C	0.120
YKR103W	0.927
YDR017C	0.069
YJR024C	0.736
YHL046C	1.047
YLR094C	0.877
YPR029C	1.027
YKR069W	0.238
YML006C	1.415
YPR038W	0.405
YML058C-A	1.572
YJR129C	1.619
YJL078C	0.911
YKL175W	1.073
YGR157W	0.077
YOR016C	0.458
YMR266W	0.552
YMR173W	1.689
YJL049W	0.955
YKL037W	0.987
YLR428C	1.106
YGL209W	0.587
YGL138C	1.205
YPR007C	1.093
YER085C	1.099
YGR035C	1.149
YGR170W	1.347
YMR257C	0.847
YBR001C	1.188
YDR393W	0.513
YJR070C	1.221
YLR436C	0.446
YDR231C	2.035
YEL041W	1.345
YDL125C	1.122
YPL181W	0.703
YLR386W	0.801
YML100W-A	0.976
YGL143C	1.003
YBL027W	0.737
YDL200C	0.826
YBR076W	0.559
YKR006C	1.412
YOR140W	0.609
YPR152C	0.813
YDL021W	0.882
YGL085W	0.909
YBR187W	1.198
YLL056C	1.293
YJL181W	0.751
YPR200C	1.213
YMR261C	0.864
YPL262W	0.691
YMR306W	1.561
YLR152C	0.976
YJL024C	1.292
YOL121C	1.100
YNL235C	0.386
YPR126C	0.943
YNR036C	1.038
YNL298W	0.545
YLR057W	0.913
YCL036W	0.800
YHL026C	1.248
YER111C	0.524
YOR343C	1.247
YCL022C	1.190
YKR075C	1.029
YHL031C	0.085
YMR069W	1.068
YDR123C	0.132
YMR172C-A	1.205
YKL142W	0.917
YHR117W	1.446
YGL015C	0.860
YGL038C	0.173
YPR115W	0.936
YNL070W	0.842
YHR104W	1.048
YNL082W	1.384
YMR188C	0.988
YDL188C	0.638
YJR083C	0.981
YDL094C	1.295
YJL056C	1.052
YPR018W	0.874
YDR306C	1.298
YAL053W	0.917
YOR196C	0.633
YML075C	1.053
YIR033W	1.066
YDR423C	0.987
YHR079C	0.998
YDR061W	1.053
YLR169W	1.113
YLR238W	1.672
YGR007W	0.969
YKL015W	1.108
YDR143C	0.811
YDR420W	0.757
YIL089W	1.365
YFL014W	0.915
YMR157C	1.009
YOR078W	1.197
YOR291W	1.052
YDR447C	1.026
YDR336W	0.899
YDL054C	1.236
YMR267W	0.886
YBR282W	0.935
YOL104C	1.240
YPR023C	1.752
YOR292C	1.261
YPL157W	1.321
YER020W	1.278
YPL195W	1.126
YNL052W	1.075
YJL052W	0.406
YIL114C	0.879
YOR350C	1.020
YNL215W	5.075
YKL080W	0.634
YFL042C	0.829
YML111W	1.046
YMR031W-A	0.959
YOR082C	1.088
YEL063C	1.192
YGL158W	1.121
YOR325W	0.782
YGR178C	0.689
YLR019W	0.805
YLR233C	1.800
YGL056C	0.891
YHR097C	1.048
YIL146C	1.290
YNL005C	0.835
YDR304C	0.766
YJL075C	1.264
YDR115W	1.229
YHR210C	1.079
YDR171W	1.026
YBR066C	1.012
YOR031W	1.085
YCR105W	0.976
YGL020C	0.584
YJR079W	0.807
YNL029C	0.663
YHR005C	0.901
YDR262W	1.699
YJR110W	1.199
YFR014C	0.854
YKR005C	2.288
YFL049W	1.093
YNL293W	0.918
YDL135C	1.126
YKL046C	0.839
YEL068C	1.017
YOR359W	1.030
YIL103W	0.974
YOR180C	1.367
YER071C	1.302
YGL129C	1.298
YKL218C	0.122
YOR053W	1.105
YOR076C	1.131
YDR112W	1.253
YDR320C	0.961
YCR032W	1.007
YLL043W	0.753
YEL009C	1.751
YLR058C	-0.003
YLR422W	1.093
YGR080W	0.902
YER047C	0.977
YDL239C	1.182
YJL059W	1.047
YCR036W	0.509
YDR032C	1.129
YER124C	1.105
YBL056W	1.161
YCR017C	1.360
YCR019W	0.676
YOL039W	1.077
YDL179W	0.510
YMR280C	1.118
YLR225C	1.024
YGR236C	1.020
YMR316W	1.056
YGL026C	1.707
YOR173W	1.096
YLL024C	1.514
YIL161W	0.763
YDR466W	0.881
YER162C	1.025
YDR269C	0.657
YOL070C	1.316
YPL174C	0.771
YGR111W	1.101
YAL026C	0.480
YMR086C-A	0.976
YPL001W	0.936
YKR032W	0.424
YML054C	1.242
YNL040W	1.196
YOL091W	0.139
YDL202W	1.025
YGR146C	0.967
YLR204W	1.053
YPL113C	1.238
YLR034C	0.897
YLR344W	1.037
YPL037C	1.093
YBR300C	0.835
YOR138C	1.225
YLR017W	1.062
YNL311C	0.903
YNL004W	1.302
YCR069W	0.758
YNL009W	1.285
YOR120W	1.168
YGL205W	2.098
YFR044C	1.799
YDL024C	1.173
YOR265W	1.028
YHR039C	1.187
YGR167W	0.274
YCR023C	0.982
YGL216W	0.663
YPL115C	1.306
YKR057W	1.567
YGL016W	0.934
YPL004C	1.387
YOL058W	0.092
YNL305C	1.117
YML102W	1.321
YHR112C	1.425
YBL021C	1.161
YDR337W	0.702
YBR150C	1.252
YGL165C	0.318
YMR026C	2.070
YGR022C	1.546
YER061C	0.464
YDR252W	0.678
YMR153C-A	1.307
YBR028C	1.193
YPR093C	0.625
YBR037C	1.150
YER123W	0.610
YMR088C	1.075
YBL103C	1.584
YKL008C	1.023
YGR129W	0.942
YIL113W	0.901
YGL010W	0.814
YOR245C	0.758
YHL023C	0.786
YBL078C	1.174
YLR089C	0.877
YMR186W	0.758
YGL215W	0.867
YER052C	0.155
YPR106W	0.970
YIL070C	1.212
YER078C	1.023
YBR186W	1.084
YPL188W	0.047
YLR063W	1.342
YJL151C	0.988
YPL149W	1.185
YDL066W	1.488
YPL185W	1.038
YHR004C	0.716
YIL047C	1.167
YJL141C	0.681
YHL016C	1.602
YBR115C	1.015
YOR067C	1.024
YKR091W	1.070
YBR206W	1.386
YLR450W	0.747
YOR276W	0.848
YBR295W	0.846
YGR174C	1.343
YJR146W	1.555
YJL028W	1.086
YDR104C	1.312
YIL102C	0.973
YPL109C	0.907
YDR025W	0.838
YPL270W	0.851
YJL099W	0.859
YMR207C	0.231
YFR020W	1.050
YDR369C	0.741
YER065C	1.154
YLL055W	1.236
YAL014C	0.859
YJL046W	0.114
YJL140W	0.542
YGR127W	1.311
YDR347W	1.142
YGR222W	1.036
YLR027C	0.784
YLR138W	0.895
YBR194W	0.703
YOR209C	0.974
YGL229C	1.604
YOR296W	1.091
YLR168C	0.904
YGL017W	1.274
YKL075C	1.038
YPL081W	0.959
YIL152W	0.731
YKR072C	1.316
YLR043C	0.809
YBR291C	0.823
YGL035C	1.228
YAL021C	1.463
YPL205C	1.331
YLR067C	0.804
YPL267W	0.993
YOR025W	1.019
YER095W	0.959
YDR119W	2.167
YAL016W	0.902
YNL294C	1.483
YJL119C	1.489
YIL153W	0.703
YLR252W	0.768
YNR030W	0.794
YMR247C	1.062
YDR229W	1.968
YPL183C	0.946
YJR075W	0.604
YOR364W	1.191
YNL115C	1.240
YNL012W	0.318
YLR361C	1.220
YGR041W	1.138
YKL198C	1.290
YLR257W	0.965
YJR095W	0.882
YNR059W	1.018
YLR258W	1.623
YBL032W	1.258
YBR108W	0.952
YOR268C	0.887
YNL157W	3.465
YPR101W	1.619
YDR198C	1.928
YIL120W	0.909
YPR092W	0.914
YPL150W	0.655
YNR027W	0.602
YCL069W	1.167
YNL296W	0.829
YGR025W	1.520
YGR229C	0.915
YER034W	1.354
YML038C	0.830
YDR433W	0.055
YDL059C	1.090
YKL034W	1.043
YAL064C-A	0.724
YMR199W	0.602
YKL011C	1.189
YBR225W	1.129
YKL158W	1.504
YIL020C	1.296
YML095C	0.841
YEL007W	0.368
YKL137W	0.704
YMR223W	1.326
YGR221C	0.955
YDR008C	1.179
YDR371W	0.866
YOR219C	0.927
YGR269W	1.119
YMR326C	1.148
YJL116C	1.504
YBR219C	1.253
YBR151W	1.059
YPL177C	1.041
YBR261C	0.828
YOR295W	1.356
YBR100W	1.155
YLL033W	0.359
YMR196W	0.808
YMR002W	2.006
YKR101W	0.873
YMR044W	1.487
YNL087W	1.011
YDL219W	1.241
YAL018C	0.960
YER164W	1.270
YBL055C	1.290
YGR227W	1.106
YDL076C	0.783
YEL025C	1.022
YNL093W	1.250
YJL138C	0.159
YHR016C	1.036
YDR244W	1.045
YHR082C	0.818
YLR381W	1.403
YGR079W	0.916
YNL318C	0.966
YLR040C	1.036
YKL147W	1.397
YGL181W	0.877
YCL064C	1.081
YPL123C	0.921
YMR233W	1.590
YPL249C	0.933
YCL055W	1.271
YCR059C	0.804
YOL103W	1.124
YDR278C	1.468
YJR126C	0.819
YCL050C	0.963
YKL132C	0.707
YML070W	1.116
YOR186W	1.146
YDL099W	1.381
YDR477W	0.923
YML020W	0.316
YIL040W	1.066
YNL098C	1.123
YHL024W	0.934
YJL047C	0.412
YGL237C	1.667
YDR430C	0.932
YDR305C	0.401
YJL020C	1.044
YHR094C	0.938
YLL061W	1.404
YPL182C	1.221
YJR125C	0.658
YML053C	1.354
YOL020W	1.363
YJL089W	0.943
YAL044C	0.168
YDR063W	0.982
YKR060W	0.702
YFR012W	0.901
YDR205W	1.712
YKR048C	0.313
YHR139C	1.069
YJL118W	1.443
YAL055W	1.387
YLR313C	0.630
YDR030C	1.570
YNR025C	0.768
YDR130C	1.327
YDR297W	0.509
YOL063C	1.010
YPR160W	1.086
YGL140C	1.375
YMR080C	1.038
YBL086C	0.872
YDR178W	0.940
YGL127C	1.080
YMR158W-A	1.083
YEL067C	1.096
YJL017W	1.067
YDL104C	0.945
YMR106C	1.481
YOR073W	0.867
YDR386W	1.046
YPR148C	0.588
YOR308C	1.284
YJR092W	1.112
YBR069C	0.986
YDL169C	0.872
YNL173C	-0.151
YLR368W	0.633
YGL177W	0.903
YNL136W	1.867
YGR097W	1.179
YNL167C	0.767
YOR304C-A	1.048
YDR417C	1.314
YBR072W	1.160
YOR156C	1.171
YHR154W	0.840
YGL236C	1.632
YLR164W	1.177
YNL065W	1.222
YJL211C	1.299
YIR042C	1.037
YOL100W	1.136
YLR251W	0.648
YGR205W	1.206
YAR031W	1.587
YDR418W	1.222
YPR053C	1.309
YKL110C	1.180
YML019W	0.573
YDR217C	1.416
YPL219W	1.027
YCR026C	0.573
YGL175C	0.990
YBR263W	0.846
YPR149W	0.776
YDL012C	0.677
YOR170W	0.855
YNL120C	1.111
YDR153C	0.947
YIL001W	1.482
YBR228W	1.151
YGL144C	0.797
YER176W	1.121
YBR274W	0.967
YNL030W	0.704
YDL224C	1.387
YJL108C	1.620
YOR363C	1.128
YMR311C	0.746
YKL176C	1.014
YCR003W	0.944
YDR345C	1.001
YML089C	1.337
YOR135C	0.881
YCR067C	0.806
YDR378C	0.855
YBL070C	1.015
YOR306C	0.829
YOR175C	0.955
YLR353W	0.916
YDR480W	0.930
YKR020W	2.231
YNL289W	0.817
YFR024C	0.989
YDR319C	1.314
YOR288C	1.046
YPR095C	0.913
YPL100W	0.379
YPR159W	0.792
YML032C	0.552
YER037W	1.208
YDR116C	1.141
YPL253C	0.993
YIL002C	1.998
YBR059C	1.518
YER173W	1.091
YDR309C	1.924
YLR366W	0.900
YNL138W	2.107
YGR266W	1.192
YGR132C	0.901
YER182W	1.275
YCL027W	0.938
YLR135W	1.202
YMR089C	1.204
YHL038C	1.031
YOR130C	0.178
YJL016W	1.074
YER174C	1.007
YDR375C	1.041
YLR374C	0.854
YBR179C	0.392
YEL033W	0.981
YGR068C	0.919
YMR056C	0.839
YNR014W	0.797
YLL029W	0.881
YEL020C	1.206
YER033C	1.252
YLR263W	1.364
YNL307C	0.385
YGL242C	0.652
YAR020C	0.983
YCR024C-A	1.206
YFR034C	1.133
YLR044C	1.758
YDR344C	1.085
YER183C	1.160
YLR285W	0.627
YAR037W	0.977
YOR128C	0.231
YGR125W	0.693
YDL233W	1.069
YPL049C	1.135
YNL003C	1.011
YKL200C	2.344
YMR162C	1.027
YPL110C	1.092
YAL058C-A	1.208
YGL079W	0.798
YDR239C	0.495
YBR020W	1.134
YIL124W	0.980
YDR125C	0.747
YLR382C	0.958
YIL024C	1.148
YJR051W	0.872
YJR108W	0.689
YPL241C	0.984
YNL072W	1.265
YNL068C	1.281
YPL273W	1.003
YPL116W	0.561
YIL173W	1.025
YDR067C	1.297
YDR161W	1.210
YGL077C	1.612
YGR016W	0.962
YLR266C	0.910
YOL055C	0.953
YMR127C	1.072
YDR213W	2.654
YOR193W	1.360
YOL147C	1.298
YKR096W	1.231
YDL053C	1.314
YMR024W	0.295
YKL162C	1.273
YJR105W	0.804
YBR165W	0.641
YLR236C	1.245
YKL197C	1.346
YDL131W	0.808
YOR271C	1.038
YCR083W	0.809
YIR034C	0.810
YEL011W	1.098
YBR185C	1.054
YLR172C	0.863
YLR119W	1.196
YIR029W	0.909
YPR194C	0.848
YJL170C	0.821
YNL133C	1.449
YKL216W	0.108
YBR126C	1.090
YNR019W	1.059
YER156C	0.945
YML018C	1.352
YDR071C	1.108
YER062C	1.093
YEL072W	0.975
YML017W	1.105
YDL061W	0.275
YLR370C	1.034
YBR008C	1.138
YPR015C	1.103
YNL303W	1.011
YPL088W	1.101
YER119C	1.272
YPR154W	1.028
YJL077C	0.973
YIL100W	1.315
YML058W	1.734
YGR237C	0.749
YOR200W	0.975
YGR225W	0.904
YGR092W	0.995
YPL077C	1.142
YDL130W-A	0.813
YJL101C	-0.045
YOR240W	1.053
YDR513W	0.782
YML041C	0.384
YDR075W	0.768
YGR215W	1.008
YKR064W	0.243
YNL101W	1.161
YJL122W	1.182
YBR033W	1.300
YJR152W	1.615
YFR039C	0.825
YLR389C	0.442
YDL011C	0.783
YJL192C	1.051
YHL013C	0.915
YFR038W	1.046
YKL061W	1.052
YDR442W	0.953
YNR018W	0.971
YGR149W	1.063
YLR095C	0.772
YHR043C	1.178
YCR001W	1.102
YDR439W	1.468
YLR179C	1.349
YGL174W	0.877
YDR270W	0.028
YDR415C	1.029
YOR318C	0.741
YER002W	1.046
YDL051W	1.027
YGR012W	0.993
YMR040W	-0.211
YCR024C	1.126
YGL096W	0.869
YOL152W	1.269
YEL040W	1.280
YCL003W	1.140
YBR169C	1.005
YOR316C	1.020
YHR045W	0.922
YDR481C	0.931
YIR030C	1.175
YOR007C	1.167
YCR021C	0.990
YGL214W	1.604
YOL099C	0.783
YLR114C	1.867
YGR201C	0.933
YOL109W	0.883
YNL148C	0.965
YKR011C	0.400
YIL028W	0.946
YGR069W	1.552
YPR045C	0.614
YPL072W	1.091
YHR202W	0.975
YMR300C	0.071
YDR155C	0.997
YDR127W	0.108
