ORF	hap alpha | growth (culture turbidity) | standard | MM + (H–L)HKU + Trp | Cai H~Becker JM, 2006
YDL242W	1.352
YNL210W	-0.080
YPL135W	1.446
YNR049C	0.975
YGL235W	1.320
YLR345W	0.860
YNR015W	0.955
YNL091W	0.822
YKL066W	1.065
YLR228C	0.882
YJL094C	0.807
YJR130C	1.303
YLR283W	0.803
YBR207W	0.911
YNL211C	-0.169
YLR304C	0.177
YGR232W	1.088
YLR438W	0.907
YHR096W	1.104
YPL246C	1.036
YNR039C	0.564
YPR185W	0.913
YLR416C	0.974
YBL106C	0.978
YHR075C	1.160
YOL037C	1.171
YPR164W	1.084
YFR047C	0.511
YLL052C	1.882
YDR090C	1.309
YMR263W	1.008
YLL060C	1.378
YDL002C	0.563
YPR120C	0.797
YMR034C	0.900
YKL065C	1.000
YER056C	1.119
YBR085W	1.257
YDL234C	1.072
YJL139C	1.127
YJR100C	1.025
YGR285C	1.243
YNL168C	0.904
YGL219C	0.757
YDR185C	1.203
YJL131C	0.786
YGL170C	1.154
YER087W	0.929
YOR307C	1.174
YDR380W	1.111
YKR026C	3.615
YFL036W	0.906
YAR002W	0.818
YMR092C	1.225
YOL132W	1.034
YEL023C	1.149
YDR540C	1.086
YLR420W	0.725
YHR151C	0.979
YHR199C	1.158
YFR025C	0.993
YIR017C	0.090
YLR173W	1.160
YCR047C	2.154
YCL010C	1.875
YJL189W	1.369
YDL189W	0.998
YOR163W	1.060
YDL128W	0.925
YLR220W	0.883
YER060W-A	0.158
YAL062W	0.992
YPR119W	0.829
YHR086W	1.042
YJR032W	0.811
YPL194W	1.117
YER067W	1.128
YPR171W	1.129
YOL162W	0.683
YIL157C	0.981
YGL126W	1.067
YGL256W	1.262
YHR156C	1.160
YDR410C	0.841
YDL047W	1.706
YHR046C	1.242
YNR032W	0.585
YER091C-A	0.117
YLR192C	1.378
YBR232C	0.883
YGL211W	1.898
YGL007W	0.895
YEL056W	1.146
YDR026C	0.810
YDL129W	0.986
YER069W	0.015
YDL010W	0.763
YNL291C	1.055
YKL164C	1.311
YLR334C	0.818
YDR132C	1.162
YHR095W	0.968
YNL134C	1.193
YHL033C	0.574
YLR154C	1.312
YKL217W	0.240
YOR030W	1.237
YCL062W	1.258
YDR157W	0.177
YJL204C	1.567
YKL191W	0.259
YKR045C	0.393
YGR052W	0.958
YHR139C-A	1.079
YFR008W	1.154
YAR035W	0.896
YLR330W	0.886
YML128C	0.340
YJL178C	0.918
YDR541C	1.150
YHR185C	1.335
YOR223W	0.967
YAL049C	1.191
YAR014C	1.260
YNL001W	1.156
YGL168W	1.221
YOR337W	1.280
YDL075W	0.076
YGL241W	1.519
YNL295W	1.229
YOR239W	0.931
YDR215C	2.016
YNR004W	0.996
YBL091C-A	0.826
YOR378W	0.924
YPL221W	0.768
YOR252W	0.969
YMR167W	1.921
YGR139W	1.175
YOR011W	0.914
YLR431C	1.002
YOR315W	1.085
YMR084W	1.035
YOL024W	1.259
YGL050W	0.812
YPL084W	0.710
YOR293W	1.466
YMR138W	1.243
YPR064W	1.019
YOR034C	1.202
YBR231C	0.281
YER030W	1.248
YCR082W	1.297
YMR192W	1.005
YML012W	1.423
YJL179W	0.395
YMR048W	1.152
YBR221C	0.093
YKR034W	0.976
YKL071W	1.209
YHR153C	1.235
YKL027W	0.893
YNL322C	1.156
YDL214C	1.478
YJL171C	1.115
YHL042W	2.236
YGR093W	0.872
YML001W	0.335
YGL087C	1.108
YIR027C	0.951
YDR095C	1.104
YMR215W	1.399
YIL025C	1.301
YLL001W	1.082
YKL139W	0.616
YDR084C	1.189
YJR118C	0.114
YML103C	1.451
YJR049C	0.597
YKL184W	0.125
YPL261C	0.794
YDR156W	1.216
YOR113W	1.155
YLR456W	0.928
YJL044C	0.997
YIL170W	1.044
YKL138C	0.581
YDR313C	1.123
YGR040W	0.695
YKR105C	0.700
YDR271C	0.988
YPR150W	0.741
YNL271C	0.388
YBR292C	0.646
YMR259C	1.050
YPL274W	1.018
YOR037W	1.107
YDL073W	1.051
YPL039W	0.991
YHL009C	1.061
YBR246W	1.296
YKL177W	0.566
YHR081W	0.251
YML118W	0.881
YPR072W	1.258
YPR189W	0.921
YDL032W	1.409
YBR036C	0.942
YOL080C	1.153
YPL053C	0.862
YLR207W	0.941
YLR006C	1.134
YPL208W	1.280
YGL203C	1.400
YBR244W	0.886
YPL101W	0.991
YHR200W	1.496
YGL081W	1.027
YER109C	1.021
YLR110C	0.733
YFR032C	0.870
YCL007C	0.833
YBR235W	1.354
YPL033C	1.215
YLR427W	0.965
YBR162W-A	0.854
YDR277C	1.540
YMR274C	0.330
YBL016W	0.965
YKR098C	0.931
YOR379C	1.150
YBR203W	0.808
YIL049W	0.687
YDR020C	0.967
YOR042W	0.898
YLR146C	1.126
YKL103C	0.863
YFL016C	0.042
YMR145C	1.543
YOR137C	1.202
YOR064C	0.936
YGR102C	0.476
YGR193C	0.129
YMR062C	0.232
YDR242W	1.139
YLR224W	0.915
YDR523C	1.136
YPR044C	0.514
YOR183W	1.001
YMR081C	1.406
YDR333C	0.997
YDL176W	0.850
YOL001W	0.510
YLR380W	1.389
YCR075C	0.713
YHL017W	0.768
YLR037C	0.986
YFR035C	1.050
YIL149C	1.117
YOR080W	0.962
YHR126C	1.230
YDR453C	1.065
YDR265W	0.764
YCL045C	1.331
YBL011W	0.674
YBL005W	1.147
YKL101W	0.707
YNL200C	0.071
YGR177C	1.067
YOL043C	1.082
YKL167C	1.178
YER084W	1.033
YLR069C	0.746
YKL146W	1.034
YKR027W	0.963
YAL043C-A	0.970
YPL193W	0.792
YMR242C	0.881
YDR220C	0.790
YJL152W	1.385
YBR045C	0.385
YKL030W	1.135
YOR275C	1.458
YKL157W	1.113
YLR394W	1.055
YEL001C	1.059
YLR214W	0.889
YPL014W	1.115
YLR442C	1.030
YER166W	0.993
YOR222W	0.952
YPL220W	1.055
YOR124C	1.499
YDR004W	1.205
YJL055W	0.802
YHR026W	0.873
YKR028W	0.852
YEL036C	1.647
YFR057W	0.826
YIL027C	1.398
YNL332W	1.191
YML080W	0.846
YKR024C	0.315
YML016C	0.751
YBR226C	1.034
YOR054C	1.242
YLR294C	1.235
YMR031C	1.103
YNL119W	1.147
YLR445W	0.969
YGL154C	0.899
YGR131W	1.148
YML056C	1.623
YGR011W	1.197
YKR023W	0.880
YOR101W	0.851
YDR401W	1.182
YPL180W	1.413
YBR224W	1.015
YDL091C	1.037
YDL160C	2.868
YMR231W	0.380
YHR115C	1.093
YDR214W	1.648
YLR406C	1.276
YDR255C	0.471
YOR009W	0.917
YPR173C	1.334
YLR454W	0.929
YLR351C	1.251
YHR080C	0.705
YDR363W	0.845
YLR136C	0.879
YBL075C	0.988
YDR029W	1.057
YLR085C	0.355
YNR066C	1.225
YDR519W	0.991
YDR298C	0.521
YDR316W	0.838
YBR229C	1.541
YDR101C	1.439
YML076C	1.041
YDR111C	1.063
YIR003W	1.021
YMR147W	1.313
YCL032W	0.920
YGL222C	1.924
YDR395W	1.081
YNL154C	0.071
YGR038W	0.861
YPR036W	0.346
YMR293C	0.488
YOL117W	1.099
YKR077W	0.888
YDR281C	1.432
YDR530C	0.881
YBR230C	1.088
YNL183C	0.344
YOR065W	0.828
YJL029C	0.776
YGR108W	0.806
YDR136C	0.748
YOL084W	1.041
YCR061W	0.682
YNL135C	1.182
YDR233C	0.981
YIL016W	1.119
YLR092W	0.393
YMR201C	1.021
YLR072W	0.599
YJR078W	0.891
YMR155W	1.192
YGL108C	1.214
YDR364C	0.920
YGR183C	0.977
YMR232W	1.337
YPR146C	0.361
YPL067C	1.061
YER073W	1.229
YNR073C	1.239
YGR001C	1.199
YKR065C	0.453
YDL100C	0.996
YEL048C	0.936
YNL049C	0.744
YBR103W	0.699
YGR213C	0.940
YMR252C	0.979
YJL126W	1.010
YMR006C	1.180
YFR019W	0.279
YGR126W	1.067
YAR044W	0.646
YER007C-A	1.308
YCR106W	0.647
YOR348C	1.096
YOL160W	1.010
YHR155W	1.096
YKL074C	1.391
YBL068W	0.911
YML122C	0.741
YGR238C	0.891
YAL027W	1.084
YGL194C	1.393
YLR308W	0.569
YOR158W	0.709
YCR043C	0.997
YNL185C	-0.108
YLR262C-A	0.876
YDR287W	1.520
YGR202C	1.180
YJR080C	0.999
YLR064W	1.201
YDR289C	0.550
YCL026C-A	1.134
YGL202W	1.396
YGR171C	1.013
YBR173C	0.973
YPL162C	0.670
YOR345C	1.293
YNL144C	1.206
YGL217C	0.984
YGL261C	1.091
YNL080C	0.841
YLR357W	1.003
YDL198C	0.097
YLR213C	0.790
YJR019C	0.797
YGL248W	0.759
YKR013W	2.664
YBL093C	0.572
YNL045W	1.205
YDR405W	1.083
YHR066W	0.878
YMR193W	0.965
YER083C	0.251
YDL086W	1.030
YDL241W	1.242
YGL257C	1.170
YJL161W	1.042
YLR248W	1.227
YBL102W	0.606
YDR022C	0.734
YLR269C	1.028
YOR284W	0.869
YBR030W	1.049
YML095C-A	0.272
YLR372W	0.367
YGL104C	1.571
YDR183W	0.869
YLR412W	0.801
YBR248C	0.569
YBR170C	0.327
YDR135C	1.211
YPL024W	1.175
YPL121C	0.692
YDL063C	0.783
YLR363C	0.984
YHL021C	2.337
YPR179C	0.856
YLL040C	1.299
YKL070W	1.017
YIL097W	0.819
YNL031C	1.076
YHL002W	1.206
YHR091C	0.860
YOR006C	1.191
YLR328W	0.926
YGL059W	1.064
YDR285W	0.718
YML004C	1.283
YGR210C	0.922
YKL023W	1.113
YPL009C	1.271
YKL069W	0.852
YDL001W	0.673
YKL085W	0.866
YBR217W	1.143
YPR005C	0.915
YNL176C	-0.485
YEL043W	1.154
YER038W-A	0.882
YML107C	1.311
YGR004W	1.057
YGL132W	1.048
YOR147W	1.155
YLR242C	1.444
YBR233W	0.833
YLR287C	1.229
YOR062C	1.002
YAL036C	0.761
YOL119C	0.909
YHR017W	1.177
YGR164W	0.910
YOR253W	1.249
YLR300W	0.851
YGR020C	0.252
YMR042W	0.669
YML029W	1.219
YHR182W	1.285
YLR016C	1.158
YOR039W	1.616
YGR208W	0.452
YER057C	0.093
YLR130C	1.158
YDR368W	1.325
YJL130C	1.888
YDR092W	1.451
YLR439W	0.833
YDL071C	0.606
YNR064C	0.771
YER007W	0.985
YBR112C	1.469
YOL106W	1.074
YMR066W	0.834
YDR109C	0.964
YDR245W	0.371
YJL163C	0.721
YDR173C	0.224
YHR006W	0.269
YLR079W	0.277
YIL105C	1.502
YGR176W	1.037
YOR094W	1.016
YLR137W	0.931
YPL106C	1.609
YER064C	1.151
YKR040C	1.032
YGL240W	0.342
YHR193C	0.712
YIL167W	0.866
YPR017C	0.627
YPL147W	1.126
YNL194C	-0.758
YOR211C	0.423
YHR161C	0.758
YGL131C	1.019
YDR517W	0.803
YEL046C	0.831
YGR239C	1.050
YBR018C	1.486
YBR009C	1.317
YHR039C-B	0.197
YDL123W	1.205
YOL088C	1.100
YLR013W	0.917
YGR137W	1.355
YDR329C	1.440
YMR275C	0.761
YDL113C	1.063
YFL013W-A	0.309
YDR471W	1.052
YER035W	1.357
YMR009W	-0.120
YER178W	0.160
YDR099W	1.180
YPR066W	0.083
YDR422C	0.951
YGL032C	1.161
YER098W	0.921
YML112W	0.110
YOR014W	0.784
YJL043W	1.056
YDR511W	0.884
YMR166C	1.222
YGR107W	1.070
YGR081C	0.947
YHR105W	1.046
YGL049C	0.947
YOL159C	0.996
YOL112W	0.869
YPL250C	0.629
YDR149C	0.664
YOR152C	1.191
YIL108W	1.459
YBR119W	0.993
YOR068C	0.069
YLR253W	0.938
YDR486C	0.821
YGR057C	1.265
YNL128W	1.316
YDR503C	1.087
YDL037C	1.377
YPL096W	0.720
YMR020W	1.284
YLR109W	1.117
YMR276W	0.965
YDR219C	0.804
YPR052C	1.416
YBR003W	0.979
YGL227W	1.207
YDR107C	1.127
YOR047C	1.155
YKL178C	0.431
YKL001C	0.155
YGR268C	1.080
YIL011W	0.725
YNR041C	0.801
YJL136C	0.567
YPL059W	0.425
YPL132W	0.916
YBR174C	1.554
YKL073W	1.672
YDL142C	1.050
YKL135C	0.093
YGR204W	0.038
YNL056W	0.977
YLR035C	0.846
YHR111W	1.455
YML059C	1.556
YIL121W	0.854
YIL111W	0.900
YCL024W	0.836
YBL022C	0.983
YPR057W	1.471
YKL091C	1.069
YPR128C	0.726
YPR008W	1.171
YMR014W	0.573
YNL021W	1.383
YDR321W	1.382
YFL047W	1.043
YER066C-A	1.535
YFR010W	0.922
YNR062C	1.077
YLL005C	1.342
YGL206C	0.131
YPL227C	1.140
YLR025W	0.720
YOR351C	1.022
YGL083W	1.186
YPL170W	1.204
YNL201C	-0.593
YLR398C	1.388
YJL159W	1.163
YDR035W	1.013
YDR284C	1.224
YDR094W	1.054
YDL133C-A	1.396
YBR273C	0.889
YMR055C	0.899
YER118C	1.279
YMR285C	1.199
YPL159C	0.436
YLR240W	0.300
YFL028C	1.165
YGR242W	1.114
YBL042C	1.399
YIL064W	1.253
YDR046C	1.017
YOR270C	0.435
YIL041W	1.430
YGR154C	0.867
YGL226C-A	0.631
YCR099C	1.389
YLR144C	0.888
YGL220W	0.664
YNL246W	1.000
YOL072W	0.323
YML057W	1.380
YKR041W	1.747
YAL037W	0.632
YKL105C	1.229
YJR084W	1.282
YPR028W	0.861
YOR061W	1.313
YKL055C	0.299
YBL054W	1.050
YJR131W	0.922
YOL141W	0.981
YBR090C-A	1.186
YPL144W	0.591
YJL193W	1.215
YNL023C	1.177
YGL023C	2.064
YDL121C	1.085
YDL057W	1.051
YOR070C	0.360
YNL058C	1.086
YDL041W	1.279
YLR289W	0.443
YBL047C	1.268
YDR479C	0.669
YLR081W	1.182
YER108C	1.253
YNR021W	1.046
YLR170C	1.113
YDR515W	1.349
YIR016W	0.922
YPR069C	0.728
YPL038W	1.111
YNR045W	0.801
YLR337C	2.334
YLR262C	0.417
YJL208C	1.457
YIR004W	1.137
YML081C-A	1.025
YAR003W	0.841
YDR521W	1.203
YGR142W	1.165
YLR352W	1.008
YDR258C	0.291
YGR051C	1.360
YDR138W	0.261
YGR234W	0.915
YGR049W	1.150
YDL158C	1.469
YOR107W	0.985
YDR133C	1.158
YGR071C	0.766
YKL187C	0.977
YNL264C	1.256
YNL107W	0.686
YLL002W	1.342
YFR056C	0.848
YDL056W	0.878
YDR492W	1.044
YGL200C	1.214
YDR435C	1.040
YIL086C	0.674
YDR374C	0.999
YJL137C	1.265
YJL188C	1.219
YCR051W	0.598
